book_id,author,translator,publisher
15432,,,طاقچه
15436,,,ماهنامه ساناز سانیا
15459,مجید صفاری‌نیا,,انتشارات دانشگاه پیام نور
15460,فاطمه  پورشهسواری,,انتشارات دانشگاه پیام نور
15461,حسن شکاری,,انتشارات نشانه
15462,حسین زارع,,انتشارات دانشگاه پیام نور
15467,,,قهوه‌دان
15470,جی.کی. رولینگ,امیرحسین رستمی,مهرگان خرد
15471,نیک  مورگان,ابوذر کرمی,انتشارات سایه سخن
15482,مرتضی ترخان,,انتشارات دانشگاه پیام نور
15488,,,مجله همه راز موفقیت
15493,,,کلیک
15499,,,روزنامه وطن امروز
15506,,,روزنامه کیهان
15507,,,روزنامه جوان
15512,,,روزنامه آرمان ملی
15515,,,مجله همه راز موفقیت
15532,,,روزنامه جوان
15536,,,روزنامه قانون
15538,,,روزنامه آرمان ملی
15543,مریم عرفانیان,,نشر ستاره‌ها
15571,محمدرضا مرادی,,ناشر مؤلف
15572,دیوید  رویستون لی,فاطمه باغستانی,انتشارات نسل نواندیش
15573,الکساندر سولژنیتسین,سعدالله علیزاده,انتشارات امیرکبیر
15575,مارک موچینک,عفت حیدری,بهار سبز
15576,دین لوری,رامک فدائیان,انتشارات افراز
15577,,,دبیرخانه دانشگاه صنعتی شریف
15580,پل زیندل,شهرام زرگر,نشر بیدگل
15582,,,نشریه چلچراغ
15584,,,ماهنامه منزل
15606,علامه سید محمدحسین حسینی طهرانی,,انتشارات مکتب وحی
15608,جولی اوتسوکا,روشنک ضرابی,کتاب کوله پشتی
15612,,,هفته‌نامه کرگدن
15615,توماس مان,ح‍س‍ن‌ ن‍ک‍وروح‌,انتشارات نگاه
15616,آگاتا کریستی,سپیده حبیبی,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
15617,دانیل گلمن,سیامک دولتی,انتشارات دنیای اقتصاد تابان
15619,احمدرضا احمدی,,نشر مشکی
15623,مژده اسفندیاری راد,,انتشارات طلایه
15624,عباس سلیمانی امیری,,انتشارات طلایه
15625,اکرم واحدی,,انتشارات طلایه
15627,ج‍ان‌ گ‍ری‌,ن‍غ‍م‍ه‌ ع‍ل‍ی‌ق‍ل‍ی‌,انتشارات طلایه
15629,بیتا حافظی,,انتشارات طلایه
15636,,,روزنامه صبح نو
15655,ریچارد برانسون,مهدی قراچه‌داغی,انتشارات نسل نواندیش
15657,علی نصیری,,سازمان انتشارات پژوهشگاه فرهنگ و اندیشه اسلامی
15658,گروه مولفان,,نشر گل‌واژه
15659,امیرحسین معینی,,انتشارات طلایه
15660,گروه مولفان,,نشر گل‌واژه
15661,کاظم آموزگار,,انتشارات طلایه
15662,کاظم آموزگار,,انتشارات طلایه
15664,گروه مولفان,,نشر گل‌واژه
15665,توماس مور,نسرین مجیدی,نشر روزگار نو
15666,جودی بلوم,پرستو پورگیلانی,انتشارات نشانه
15667,علامه سید محمدحسین حسینی طهرانی,,انتشارات مکتب وحی
15669,اُغوز  آتای,عین‌له غریب,انتشارات نگاه
15670,رابرت شرمن,رضا  رضایی,نشر افکار
15675,شهربانو قهاری,,روانشناسی و هنر
15676,اریک فروم,سعدالله علیزاده,انتشارات جامی
15677,طاهره عرفانی,,به نشر
15680,طاهره عرفانی,,به نشر
15681,طاهره عرفانی,,به نشر
15682,طاهره عرفانی,,به نشر
15683,طاهره عرفانی,,به نشر
15684,لیزا  گراف,فریده خرَمی,نشر پیدایش
15685,طاهره عرفانی,,به نشر
15686,,,Taaghche
15687,هیات تحریریه موسسه فرهنگی مطالعاتی شمس الشموس,,انتشارات شمس الشموس
15695,,,روزنامه کیهان
15710,مریم عرفانیان,,نشر ستاره‌ها
15714,نسرین  پرک,,نشر ستاره‌ها
15715,صادق زیباکلام,,انتشارات روزنه
15716,عتیق رحیمی,مهدی آذری,انتشارات یوبان
15720,جان گوردون,سیما فرجی,انتشارات نسل نواندیش
15723,آگاتا کریستی,سپیده حبیبی,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
15724,دارن هاردی,گیتی شهیدی,انتشارات نسل نواندیش
15727,دبی فورد,الهام شریف,انتشارات نسل نواندیش
15729,وین دایر,سیما فرجی,انتشارات نسل نواندیش
15730,آگاتا کریستی,سپیده حبیبی,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
15732,آگاتا کریستی,سپیده حبیبی,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
15733,آگاتا کریستی,سپیده حبیبی,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
15734,کارماین گالو,سعید جعفری,انتشارات نسل نواندیش
15735,کارماین گالو,سعید جعفری,انتشارات نسل نواندیش
15737,گیف کنستابل,صالح سپهری‌فر,انتشارات دنیای اقتصاد تابان
15752,,,روزنامه اعتماد
15753,,,روزنامه خراسان
15754,,,روزنامه کیهان
15771,,,روزنامه آفتاب یزد
15781,رایان  کلگ,ابوذر کرمی,انتشارات سایه سخن
15782,آگاتا کریستی,سپیده حبیبی,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
15783,آگاتا کریستی,سپیده حبیبی,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
15785,دونالد ترامپ,,انتشارات نسل نواندیش
15790,,,ماهنامه طنز و کارتون خط خطی
15813,,,روزنامه جمهوری اسلامی
15814,جورج اورول,مرضیه  خسروی,نشر روزگار نو
15815,,,مجله راز
15827,,,روزنامه کیهان
15828,,,روزنامه جوان
15840,,,دوماهنامه آنگاه
15842,مهرداد صدقی,,انتشارات چرخ‌و‌فلک
15845,,,طاقچه
15847,,,طاقچه
15848,,,طاقچه
